2019-01-19 10:41:50,887 - mainClass	-INFO -check101Test_user Testcase started
2019-01-19 10:41:59,870 - AppiumOne	-INFO -io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, databaseEnabled=false, desired={platformName=android, skipUnlock=true, appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, deviceName=Nexus6API}, deviceManufacturer=Google, deviceModel=Android SDK built for x86, deviceName=emulator-5554, deviceScreenSize=1080x1920, deviceUDID=emulator-5554, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, platform=LINUX, platformName=Android, platformVersion=7.1.1, skipUnlock=true, takesScreenshot=true, warnings={}, webStorageEnabled=false}
2019-01-19 10:42:30,605 - mainClass	-INFO -[[io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, databaseEnabled=false, desired={platformName=android, skipUnlock=true, appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, deviceName=Nexus6API}, deviceManufacturer=Google, deviceModel=Android SDK built for x86, deviceName=emulator-5554, deviceScreenSize=1080x1920, deviceUDID=emulator-5554, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, platform=LINUX, platformName=Android, platformVersion=7.1.1, skipUnlock=true, takesScreenshot=true, warnings={}, webStorageEnabled=false}] -> xpath: //android.widget.TextView[@text = "See All"]]
2019-01-19 10:42:30,739 - mainClass	-INFO -[[io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, databaseEnabled=false, desired={platformName=android, skipUnlock=true, appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, deviceName=Nexus6API}, deviceManufacturer=Google, deviceModel=Android SDK built for x86, deviceName=emulator-5554, deviceScreenSize=1080x1920, deviceUDID=emulator-5554, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, platform=LINUX, platformName=Android, platformVersion=7.1.1, skipUnlock=true, takesScreenshot=true, warnings={}, webStorageEnabled=false}] -> id: com.thecarousell.Carousell:id/home_page_title_label]
2019-01-19 10:43:00,317 - mainClass	-INFO -Enter key event successful
2019-01-19 10:43:01,487 - mainClass	-INFO -White top text is :[[io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, databaseEnabled=false, desired={platformName=android, skipUnlock=true, appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, deviceName=Nexus6API}, deviceManufacturer=Google, deviceModel=Android SDK built for x86, deviceName=emulator-5554, deviceScreenSize=1080x1920, deviceUDID=emulator-5554, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, platform=LINUX, platformName=Android, platformVersion=7.1.1, skipUnlock=true, takesScreenshot=true, warnings={}, webStorageEnabled=false}] -> -android uiautomator: text("Your search "White Top" did not match any listings. Try another search?")]
2019-01-19 10:43:01,520 - mainClass	-INFO -Aseertion successful : No result found in any category for 'Whie Top'
2019-01-19 10:43:01,520 - mainClass	-INFO -check101Test_user Testcase Ended
2019-01-19 12:23:15,821 - mainClass	-INFO -Testing log
2019-01-19 12:23:15,840 - mainClass	-INFO -Inside 'sendMessage' Testcase Started
2019-01-19 12:23:25,628 - AppiumOne	-INFO -io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, databaseEnabled=false, desired={platformName=android, skipUnlock=true, appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, deviceName=Nexus6API}, deviceManufacturer=Google, deviceModel=Android SDK built for x86, deviceName=emulator-5554, deviceScreenSize=1080x1920, deviceUDID=emulator-5554, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, platform=LINUX, platformName=Android, platformVersion=7.1.1, skipUnlock=true, takesScreenshot=true, warnings={}, webStorageEnabled=false}
2019-01-19 12:23:44,490 - mainClass	-INFO -Login successful!
2019-01-19 12:23:52,597 - mainClass	-INFO -[[io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, databaseEnabled=false, desired={platformName=android, skipUnlock=true, appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, deviceName=Nexus6API}, deviceManufacturer=Google, deviceModel=Android SDK built for x86, deviceName=emulator-5554, deviceScreenSize=1080x1920, deviceUDID=emulator-5554, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, platform=LINUX, platformName=Android, platformVersion=7.1.1, skipUnlock=true, takesScreenshot=true, warnings={}, webStorageEnabled=false}] -> xpath: //android.widget.TextView[@text = "See All"]]
2019-01-19 12:24:01,751 - mainClass	-INFO -Enter key event successful on Whte Top
2019-01-19 12:24:09,048 - mainClass	-INFO -Its me, Autotester:[[io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, databaseEnabled=false, desired={platformName=android, skipUnlock=true, appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, deviceName=Nexus6API}, deviceManufacturer=Google, deviceModel=Android SDK built for x86, deviceName=emulator-5554, deviceScreenSize=1080x1920, deviceUDID=emulator-5554, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, platform=LINUX, platformName=Android, platformVersion=7.1.1, skipUnlock=true, takesScreenshot=true, warnings={}, webStorageEnabled=false}] -> -android uiautomator: text("carousell.com/autotester")]
2019-01-19 12:24:15,771 - mainClass	-INFO -Inside 'sendMessage' Testcase Ended
2019-01-19 12:40:07,703 - mainClass	-INFO -Testing log
2019-01-19 12:40:07,721 - mainClass	-INFO -Inside 'sendMessage' Testcase Started
2019-01-19 12:40:15,868 - AppiumOne	-INFO -io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, databaseEnabled=false, desired={platformName=android, skipUnlock=true, appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, deviceName=Nexus6API}, deviceManufacturer=Google, deviceModel=Android SDK built for x86, deviceName=emulator-5554, deviceScreenSize=1080x1920, deviceUDID=emulator-5554, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, platform=LINUX, platformName=Android, platformVersion=7.1.1, skipUnlock=true, takesScreenshot=true, warnings={}, webStorageEnabled=false}
2019-01-19 12:40:35,295 - mainClass	-INFO -Login successful!
